X.,Name,Type.1,Type.2,Total,HP,Attack,Defense,Sp..Atk,Sp..Def,Speed,Generation,Special,Tier
312,Minun,Electric,,405,60,40,50,75,85,95,3,F,F
313,Volbeat,Bug,,400,65,73,55,47,75,85,3,F,F
314,Illumise,Bug,,400,65,47,55,73,75,85,3,F,F
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,F,F
317,Swalot,Poison,,467,100,73,83,73,83,55,3,F,F
321,Wailord,Water,,500,170,90,45,90,45,60,3,F,F
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,F,F
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,F,F
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,F,F
327,Spinda,Normal,,360,60,60,60,60,60,60,3,F,F
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,F,F
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,F,F
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,F,F
336,Seviper,Poison,,458,73,100,60,100,60,65,3,F,F
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,F,F
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,F,F
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,F,F
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,F,F
351,Castform,Normal,,420,70,70,70,70,70,70,3,F,F
354,Banette,Ghost,,455,64,115,65,83,63,65,3,F,F
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,F,F
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,F,F
358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,F,F
362,Glalie,Ice,,480,80,80,80,80,80,80,3,F,F
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,F,F
367,Huntail,Water,,485,55,104,105,94,75,52,3,F,F
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,F,F
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,F,F
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,F,F
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,F,F
378,Regice,Ice,,580,80,50,100,100,200,50,3,T,F
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,F,F
394,Prinplup,Water,,405,64,66,68,81,76,50,4,F,F
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,F,F
402,Kricketune,Bug,,384,77,85,51,55,51,65,4,F,F
405,Luxray,Electric,,523,80,120,79,95,79,70,4,F,F
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,F,F
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,F,F
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,F,F
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,F,F
417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,F,F
419,Floatzel,Water,,495,85,105,55,85,50,115,4,F,F
421,Cherrim,Grass,,450,70,60,70,87,78,85,4,F,F
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,F,F
428,Lopunny,Normal,,480,65,76,84,54,96,105,4,F,F
432,Purugly,Normal,,452,71,82,64,64,59,112,4,F,F
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,F,F
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,F,F
455,Carnivine,Grass,,454,74,100,72,90,72,46,4,F,F
457,Lumineon,Water,,460,69,69,76,69,86,91,4,F,F
463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,F,F
470,Leafeon,Grass,,525,65,110,130,60,65,95,4,F,F
471,Glaceon,Ice,,525,65,60,110,130,95,65,4,F,F
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,F,F
477,Dusknoir,Ghost,,525,45,100,135,65,135,45,4,F,F
486,Regigigas,Normal,,670,110,160,110,80,110,100,4,T,F
489,Phione,Water,,480,80,80,80,80,80,80,4,T,F
496,Servine,Grass,,413,60,60,75,60,75,83,5,F,F
505,Watchog,Normal,,420,60,85,69,60,69,77,5,F,F
508,Stoutland,Normal,,500,85,110,90,45,90,80,5,F,F
512,Simisage,Grass,,498,75,98,63,98,63,101,5,F,F
514,Simisear,Fire,,498,75,98,63,98,63,101,5,F,F
516,Simipour,Water,,498,75,98,63,98,63,101,5,F,F
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,F,F
523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,F,F
526,Gigalith,Rock,,515,85,135,130,60,80,25,5,F,F
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,F,F
531,Audino,Normal,,445,103,60,86,60,86,50,5,F,F
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,F,F
550,Basculin,Water,,460,70,92,65,80,55,98,5,F,F
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,F,F
556,Maractus,Grass,,461,75,86,67,106,67,60,5,F,F
558,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,F,F
576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,F,F
578,Duosion,Psychic,,370,65,40,50,125,60,30,5,F,F
581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,F,F
584,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,F,F
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,F,F
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,F,F
600,Klang,Steel,,440,60,80,95,70,85,50,5,F,F
606,Beheeyem,Psychic,,485,75,75,75,125,95,40,5,F,F
611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,F,F
614,Beartic,Ice,,485,95,110,80,70,80,50,5,F,F
615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,F,F
618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,F,F
624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,F,F
626,Bouffalant,Normal,,490,95,110,95,40,95,55,5,F,F
629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,F,F
631,Heatmor,Fire,,484,85,97,66,105,66,65,5,F,F
634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,F,F
651,Quilladin,Grass,,405,61,78,95,56,58,57,6,F,F
673,Gogoat,Grass,,531,123,100,62,97,81,68,6,F,F
676,Furfrou,Normal,,472,75,80,60,65,90,102,6,F,F
702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,F,F
703,Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,F,F
705,Sliggoo,Dragon,,452,68,75,53,83,113,60,6,F,F
709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,F,F
713,Avalugg,Ice,,514,95,117,184,44,46,28,6,F,F
711,Gourgeist,Ghost,Grass,494,65,90,122,58,75,84,6,F,F
711,Gourgeist-Small,Ghost,Grass,494,55,85,122,58,75,99,6,F,F
711,Gourgeist-Large,Ghost,Grass,494,75,95,122,58,75,69,6,F,F
711,Gourgeist-Super,Ghost,Grass,494,85,100,122,58,75,54,6,F,F
678,Meowstic-M,Psychic,,466,74,48,76,83,81,104,6,F,F
678,Meowstic-F,Psychic,,466,74,48,76,83,81,104,6,F,F
479,Rotom-F,Electric,Ice,520,50,65,107,105,107,86,4,F,F
479,Rotom-S,Electric,Flying,520,50,65,107,105,107,86,4,F,F
413,Wormadam-Plant,Bug,Grass,424,60,59,85,79,105,36,4,F,F
413,Wormadam-Sandy,Bug,Ground,424,60,79,105,59,85,36,4,F,F
413,Wormadam-Trash,Bug,Steel,424,60,69,95,69,95,36,4,F,F
